ID	CONCEPT	DOCULECT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGNATES
5004	breast	TAMBUNAN DUSUN	susu	s u s u	3 7 3 7	AXBZ	SYSY	144	144.S.C 144.Y.V 144.S.C 144.Y.V	2.0 1.5 1.75 0.8	susu	0	471
5044	breast	TAUSUG	duruʔ	d u r u ʔ	1 7 5 7 1	AXBYN	TYRYH	145	145.T.C 145.Y.V 145.R.C 145.Y.V 145.H.c	2.0 1.5 1.75 1.3 0.8	duruʔ	0	565
5124	breast	TBOLI TAGABILI	tutuʔ	t u t u ʔ	1 7 1 7 1	AXBYN	TYTYH	147	147.T.C 147.Y.V 147.T.C 147.Y.V 147.H.c	2.0 1.5 1.75 1.3 0.8	tutuʔ	0	437
5164	breast	TIMUGON MURUT	titiʔ	t i t i ʔ	1 7 1 7 1	AXBYN	TITIH	148	148.T.C 148.I.V 148.T.C 148.I.V 148.H.c	2.0 1.5 1.75 1.3 0.8	titiʔ	0	437
5204	breast	TIRURAY	tutuʔ	t u t u ʔ	1 7 1 7 1	AXBYN	TYTYH	149	149.T.C 149.Y.V 149.T.C 149.Y.V 149.H.c	2.0 1.5 1.75 1.3 0.8	tutuʔ	0	437
5244	breast	TURKISH	gəGis	g ə g i s	1 7 1 7 3	AXBYN	KEKIS	150	150.K.C 150.E.V 150.K.C 150.I.V 150.S.c	2.0 1.5 1.75 1.3 0.8	gəgis	0	569
5284	breast	UGARITIC	8d	d	1	A	T	151	151.T.C	2.0	d	0	546
5324	breast	WARAY WARAY	dughan	d u gh a n	1 7 1 7 4	AXBYN	TYKAN	152	152.T.C 152.Y.V 152.K.C 152.A.V 152.N.c	2.0 1.5 1.75 1.3 0.8	dughan	0	449
5364	breast	YAKAN	susu	s u s u	3 7 3 7	AXBZ	SYSY	153	153.S.C 153.Y.V 153.S.C 153.Y.V	2.0 1.5 1.75 0.8	susu	0	471
5404	breast	YOGAD	sussu	s u ss u	3 7 3 7	AXBZ	SYSY	154	154.S.C 154.Y.V 154.S.C 154.Y.V	2.0 1.5 1.75 0.8	sussu	0	471
5484	breast	IMOROD	soso	s o s o	3 7 3 7	AXBZ	SUSU	52	52.S.C 52.U.V 52.S.C 52.U.V	2.0 1.5 1.75 0.8	soso	0	471
5524	breast	BABUYAN	soso	s o s o	3 7 3 7	AXBZ	SUSU	4	4.S.C 4.U.V 4.S.C 4.U.V	2.0 1.5 1.75 0.8	soso	0	471
5564	breast	BISAYA SABAH	susu	s u s u	3 7 3 7	AXBZ	SYSY	13	13.S.C 13.Y.V 13.S.C 13.Y.V	2.0 1.5 1.75 0.8	susu	0	471
5604	breast	FINALLIG	susu	s u s u	3 7 3 7	AXBZ	SYSY	36	36.S.C 36.Y.V 36.S.C 36.Y.V	2.0 1.5 1.75 0.8	susu	0	471
5644	breast	HILIGAYNON	suso	s u s o	3 7 3 7	AXBZ	SYSU	42	42.S.C 42.Y.V 42.S.C 42.U.V	2.0 1.5 1.75 0.8	suso	0	471
5684	breast	INABAKNON	darakan	d a r a k a n	1 7 5 7 1 7 4	AXBYBYN	TARAKAN	53	53.T.C 53.A.V 53.R.C 53.A.V 53.K.C 53.A.V 53.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	darakan	0	449
5724	breast	IRARALAY IVATAN	soso	s o s o	3 7 3 7	AXBZ	SUSU	56	56.S.C 56.U.V 56.S.C 56.U.V	2.0 1.5 1.75 0.8	soso	0	471
5764	breast	ISAMORONG IVATAN	soso	s o s o	3 7 3 7	AXBZ	SUSU	58	58.S.C 58.U.V 58.S.C 58.U.V	2.0 1.5 1.75 0.8	soso	0	471
5804	breast	IVASAY IVATAN	soso	s o s o	3 7 3 7	AXBZ	SUSU	64	64.S.C 64.U.V 64.S.C 64.U.V	2.0 1.5 1.75 0.8	soso	0	471
5844	breast	KANKANAEY	soso	s o s o	3 7 3 7	AXBZ	SUSU	74	74.S.C 74.U.V 74.S.C 74.U.V	2.0 1.5 1.75 0.8	soso	0	471
5884	breast	LIMOS KALINGA	susu	s u s u	3 7 3 7	AXBZ	SYSY	81	81.S.C 81.Y.V 81.S.C 81.Y.V	2.0 1.5 1.75 0.8	susu	0	471
5924	breast	MANDAYAN BOSO	susu	s u s u	3 7 3 7	AXBZ	SYSY	85	85.S.C 85.Y.V 85.S.C 85.Y.V	2.0 1.5 1.75 0.8	susu	0	471
